Operator: Private
Vehicle ID/Registration: N477TC
Source of Data: Cirrus SR20
Date of Event: 06/14/16
Location: Navasota_TX
Time,Airspeed Ind,Pitch,Roll,Altitude Press,Heading Mag,AHRS goNoGo - Attitude Flag,AHRS goNoGo - Heading Flag,AHRS goNoGo - Heading Rate Flag,AHRS goNoGo - Lat Accel Flag,AHRS goNoGo - Need Fast Erect,AHRS mpuNoGo - IRU Fail,Accel Lat,Accel Long,Accel Vert,Ground Speed,Baro Bug,Latitude,Longitude
(CST),(kts),(deg),(deg),(ft),(deg),(),(),(),(),(),(),(g),(g),(g),(kts),(inHg),(deg),(deg)
,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,"%N(0:0=""*"",1:1=""Flag"")","%N(0:0=""*"",1:1=""Flag"")","%N(0:0=""*"",1:1=""Flag"")","%N(0:0=""*"",1:1=""Flag"")","%N(0:0=""*"",1:1=""Active"")","%N(0:0=""*"",1:1=""Fail"")",NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER
08:15:00.0,18.5,-1.62,-0.06,-13,159.91,*,*,*,*,*,*,0.01,-0.02,1.00,,,,
08:15:00.2,,-1.62,-0.06,,159.91,*,*,*,*,*,*,-0.01,-0.01,1.00,,,,
08:15:00.4,,-1.62,-0.06,,159.91,*,*,*,*,*,*,-0.01,-0.01,1.01,,,,
08:15:00.6,,-1.62,-0.06,,159.91,*,*,*,*,*,*,0.00,-0.02,1.00,,,,
08:15:00.8,,-1.62,-0.06,,159.91,*,*,*,*,*,*,0.00,-0.02,1.00,,,,
08:15:01.0,17.8,-1.68,-0.06,-15,159.91,*,*,*,*,*,*,-0.01,0.00,1.01,,,,
08:15:01.2,,-1.62,-0.06,,159.91,*,*,*,*,*,*,0.00,-0.03,1.01,,,,
08:15:01.4,,-1.62,-0.06,,159.91,*,*,*,*,*,*,0.00,-0.02,0.99,,,,
08:15:01.6,,-1.62,-0.06,,159.91,*,*,*,*,*,*,-0.02,-0.02,1.01,,,,
08:15:01.8,,-1.62,-0.06,,159.91,*,*,*,*,*,*,0.01,-0.03,1.03,,,,
08:15:02.0,17.6,-1.62,-0.06,-16,159.91,*,*,*,*,*,*,-0.02,-0.04,0.99,0,,30.06494522,-95.55152893
08:15:02.2,,-1.57,-0.06,,159.91,*,*,*,*,*,*,-0.01,-0.01,0.99,,,,
08:15:02.4,,-1.57,-0.06,,159.91,*,*,*,*,*,*,0.00,-0.02,1.01,,,,
08:15:02.6,,-1.62,-0.06,,159.91,*,*,*,*,*,*,-0.01,-0.03,0.99,,,,
08:15:02.8,,-1.62,-0.06,,159.91,*,*,*,*,*,*,0.01,-0.02,0.99,,,,
08:15:03.0,17.4,-1.51,-0.06,-15,159.85,*,*,*,*,*,*,0.00,-0.01,1.01,,,,
08:15:03.2,,-1.57,-0.06,,159.91,*,*,*,*,*,*,-0.02,-0.01,0.99,,,,
08:15:03.4,,-1.62,-0.06,,159.91,*,*,*,*,*,*,0.02,-0.01,1.01,,,,
08:15:03.6,,-1.62,-0.06,,159.91,*,*,*,*,*,*,-0.01,-0.02,1.01,,,,
08:15:03.8,,-1.57,-0.06,,159.91,*,*,*,*,*,*,-0.00,-0.01,0.99,,,,
08:15:04.0,19.0,-1.62,-0.06,-13,159.91,*,*,*,*,*,*,0.01,-0.03,1.01,,,,
08:15:04.2,,-1.62,-0.06,,159.91,*,*,*,*,*,*,0.00,-0.02,1.02,,,,
