NTSB WPR16IA025, Attachment 1 to Cockpit Display – Recorded Flight Data - Specialist’s Factual Report,,,,,,,,,,,,
Operator: Private,,,,,,,,,,,,,
Vehicle ID/Registration: N999VX,,,,,,,,,,,,,
Source of Data: Cirrus SR22T, G1000 MFD SD Card,,,,,,,,,,,,
Date of Event: 11/7/2015,,,,,,,,,,,,,
Location: Paso Robles, California,,,,,,,,,,,,
DATA,,,,,,,,,,,,,
Time,AltGPS,AltMSL,E1 %Pwr,E1 MAP,GndSpd,IAS,Pitch,Roll,HDG,VSpd,LatAc,NormAc,E1 RPM
(PST),(ft wgs),(ft msl),(%),(Hg),(kt),(kt),(deg),(deg),(deg),(fpm),(G),(G),(rpm)
,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER,NUMBER
11:39:03,,,0,,,0,,,,-16,,,
,,,0,,,0,,,,-16,,,
11:39:05,,,0,,,0,,,,-16,,,
11:39:06,,,0,29.86,,0,,,,-16,,,
11:39:07,,,0,29.86,,0,,,,-16,,,0
11:39:08,,,0,29.87,,0,,,,-16,,,0
11:39:09,,,0,29.87,,0,,,,-16,,,0
11:39:10,,,0,29.87,,0,,,,-16,,,0
11:39:11,,,0,29.87,,0,,,,-16,,,0
11:39:12,,,0,29.87,,0,,,,-16,,,0
11:39:14,,,0,29.87,,0,,,,-16,,,0
11:39:15,,,0,29.86,,0,,,,-16,,,0
11:39:17,,,0,29.87,,0,,,,-16,,,0
11:39:18,,,0,29.88,,0,,,,-16,,,0
11:39:19,,,0,29.97,,0,,,,-7.9,,,0
11:39:20,,,0,29.13,,0,,,,-12.4,,,195.8
11:39:21,,,0.14,25.83,,0,,,,-30.8,,,972.5
11:39:22,,,0.23,22.55,,0,,,,65.5,,,1430.2
11:39:23,,,0.28,16.51,,0,,,,235,,,1599.1
11:39:24,,,0.17,15.47,,0,,,,182.8,,,1323.8
11:39:25,,,0.14,15.41,,0,,,,26.4,,,1185.2
11:39:26,,,0.12,15.07,,0,,,,-59.9,,,1162
11:39:27,,,0.12,14.96,,0,,,,-61.2,,,1172
11:39:28,,,0.12,15,,0,,,,-34.6,,,1165.3
11:39:29,,,0.12,15.09,,0,,,,-19.5,,,1148.5
11:39:30,,,0.12,15.35,,0,,,,-21,,,1125.8
11:39:31,,,0.12,15.43,,0,,,,-20.6,,,1125
11:39:32,,,0.12,15.51,,0,,,,-22.1,,,1122.2
11:39:33,,,0.12,15.6,,0,,,,-17.8,,,1118.3
11:39:34,,,0.12,15.63,,0,,,,-21.1,,,1117.6
11:39:35,,,0.12,15.61,,0,,,,-15.9,,,1120.1
11:39:36,,,0.12,15.64,,0,,,,1,,,1116.4
11:39:37,,,0.12,15.8,,0,,,,-24.6,,,1103
11:39:38,,,0.12,15.73,,0,,,,-13.6,,,1110.3
11:39:39,,,0.12,15.7,,0,,,,-10.8,,,1113.7
11:39:40,,,0.12,15.51,,0,,,,-6.9,,,1134.1
11:39:41,,,0.12,15.65,,0,,,,-1,,,1120.9
11:39:42,,,0.12,15.6,,0,,,,4.4,,,1118.3
11:39:43,,,0.12,15.52,,0,,,,15.2,,,1121.6
11:39:44,,,0.12,15.29,,0,,,,23.1,,,1146.4
11:39:45,,,0.12,15.22,,0,,,,-5.4,,,1152.5
11:39:46,,,0.12,15.18,,0,,,,-14.1,,,1156.6
11:39:47,,,0.12,15.09,,0,3.22,-0.15,120.4,-11.8,0.01,0,1166.5
11:39:48,,,0.12,15.13,,0,3.21,-0.15,120.3,15.9,0.02,0,1166.8
11:39:49,,,0.12,15.07,,0,3.24,-0.14,120.2,8.3,0.02,0,1169.7
11:39:50,,,0.12,15.09,,0,3.22,-0.14,120.2,-13.8,0.01,0.02,1171.1
11:39:51,,,0.12,15.07,,0,3.23,-0.13,120.2,-28.5,0,-0.01,1172.4
11:39:52,,,0.12,15.1,,0,3.2,-0.13,120.2,-16.1,0,0,1172.6
11:39:53,,,0.12,15.06,,0,3.25,-0.15,120.1,-5.4,0,0,1174.7
11:39:54,,,0.12,15,,0,3.21,-0.16,120.1,5.6,0.01,0.01,1184.8
11:39:55,,,0.12,14.96,,0,3.26,-0.14,120.2,6.5,0.01,-0.01,1183.1
